Bajirri  	[Ba-jirri] nominal. spring water on Mt Pierre Station. Category: Placenames and Country.
thiwirr-  	[thi-wirr] monovalent verb. get down all together. Thiwirrwirrani mawilyi yamadi nhingi. A lot of kids got down off the truck. Used only of groups. Category: actions.  [TC]
thood-  	monovalent verb. climb down. Wawanyi thoodbani girili nhingi. The goanna climbed down from the tree. Category: actions.  [TC]
thoogoo  	[thoo-goo] nominal. small female goanna. Varanus brevicauda. Category: lizards.  [wb, TC]
thoolng-  	[thool-ng] ambivalent verb. kick. Gambayiga thoolng minhi tharrayoo. The boy kicked the dog. Category: impact and violence.  [TC]
thoolngoorroo  	[thool-ngooroo] adverb. sitting back to back. Goornboo waranggiri thoolngoorroo. The woman is sitting back towards me. Category: describers.  [RC, TC]
thoombaj  	[thoom-baj] nominal. spit. Category: bodily functions.  [TC]
thoombooloo  	[thoom-booloo] nominal. pubic hair. Category: body parts and products.  [mq]
thoony  	nominal. smile. Yoowooloo thoonyjinhi goornbooyoo. The man was smiling at the woman. Category: bodily functions.
thoord-  	ambivalent verb. shake out, dust off. Maa thirrwi yoowooloongga thoordbini yimarrarra ngarringga. The man dusted off the kangaroo meat with leaves. Meat cooked in a ground oven is dusted off with a handful of leaves before being placed on leafy branches which protect it from the sand. Category: actions.  [TC]
thoorl-2  	monovalent verb. form new growth (especially flowers).
1 • new groweth of flower. Bardiri thoorlngarni girili goorroombaya. The flowers were coming out of a paperbark tree. Category: plants.
2 • new waterway formed. Lambardi jarlangga thoorlngarni nyamanyi nhingi warlibirri A small creek has formed from the big river. Can also describe the floodwater creating new waterway. Category: actions.  [TC]
thoorlmoong-  	[thoorl-moong] ambivalent verb. hit (with a closed fist). Yoowooloongga thoorlmoongbini tharra wirngarriya. The man punched the dog on the neck. Category: impact and violence.  [TC]
thoorloowa  	[thoorloo-wa] nominal. newly formed branch of waterway. Thoorloowa thoorlngarni Ngalinggaji balma nhingi. A new waterway was formed from the main Ngalinggaji creek. Category: Land.  [MS, JD]
thooroog-  	[Thoo-roog] ambivalent verb. block. Thooroog ngarni ngarragi girngali goornbooga. The woman has blocked the wind from me.. Category: motion.  [TC]
thooroowoo  	[thoo-roowoo] nominal. natural windbreak. Ngamoo ngarranggarni yoowooloongga ngaragbirra thooroowoo yimarrarra nhingi In the olden days men used to make windbreak from the  leaves. A naturally occurring shelter;  includes hillsides, caves or thick bushes. Category: home.  [TC, NC, RC]
thoorraya-  	[thoorra-ya] monovalent verb. sit with outstretched legs. Goornboo waranggi ngandawiya biyirdi thoorrayayi. A woman was sitting in the shade with outstretched legs. Category: posture.  [RC]
thoorrboord-  	[thoor-boord] ambivalent verb. thread onto stick, impale, skewer. Gawi thoorrboordngarni yoowooloongga giriliya. The man impaled the fish on a stick (to carry it). Refers to the way pieces of meat or small food items are carried. Category: impact and violence.  [TC]
thoorrooj-  	[thoorr-ooj] bivalent verb. drop. Gambayiga thoorroojbarri gambinyi walwarrangga nhingi. The boy dropped the crocodile egg. Category: motion.  [TC]
thoothooloo  	[thoo-thooloo] nominal. pheasant coucal. Centropus phasianinus. Category: birds.  [SL, RC, S&D 148]
thoowarr-  	[thoo-warr] bivalent vervb. gather things into a heap. Manyi briyali thoowarrwirra banda nhingi goornbooyarndiga warwoo. The  women used to gather conkerberry fruit from the ground for winnowing.. Category: motion.  [TC, NC, RC]
thoowoorndoo  	[thoo-woorndoo] nominal. stink, rotten. Maa niyaji waabayi thoowoorndoo. That meat was smelling stink. Category: describers.  [wb, FGG]
W  -  w
Walalgoowa  	[Walal-goowa] nominal. waterhole on the Margaret River on Louisa Downs station. Category: Placenames and Country.  [wk, JD]
Waljin.gangoo  	[Wal-jin-ga-ngoo] nominal. hill east of Christmas Creek Station. Category: Placenames and Country.
Wangalmarda  	[Wangal-marda] nominal. number 1 bore on GoGo Station. Category: Placenames and Country.  [TC]
Wanggoongarri  	[Wang-goo-ngarri] nominal. place on Louisa Downs Station where a lot of yellow kapok (wanggoo) is found. Category: Placenames and Country.  [MS]
Wangiriyawa  	[Wangiri-yawa] nominal. place on Mt Pierre Station. Category: Placenames and Country.  [RC, TC,ET]
Wanyji  	[Wany-ji] nominal. place where the dreamtime kangaroo associated with Gooniyandi language travelled from. Ngamoo ngarranggarni wardji thirrwi nyamani  boorroongoo wanyji nhingi Gooniyandi ngarri thangarndi. A long time ago in dream time came big kangaroo from the north, from a place called wanyji, it is associated with Gooniyandi. Category: Placenames and Country.  [SL, RC  TC]
Warlarri2  	[Warl-arri] nominal. 1 • mud spring with many (warlarri) trees on Mt Pierre Station. Category: Placenames and Country.  [TC, ET, Plants of the Kimberley 194]
2 • ghost gum. Eucalyptus papuana (Corymbia bella). Provides sugarbag and firewood. Outer bark is burnt to make ashes to mix with chewing tobacco. Category: plants.
Warloowaya  	[Warloo-waya] nominal. Melon Spring on GoGo Station. Category: Placenames and Country.  [RC,TC]
Warrbiba  	[Warr-biba] nominals. Junction of Christmas Creek  river and salty creek on GoGo Station. Category: Placenames and Country.
Wayarrgi  	[Wayarr-gi] nominal. place on Mt Pierre Staion. Category: Placenames and Country.
Wilinyjawa  	[Wiliny-jawa] nominal. Gum Hole, yard on Mt Pierre Station. Category: Placenames and Country.  [RC, SL]
Wilmirrngi  	[Wil-mirrngi] nominal. billabong on Mount Pierre Station. Category: Placenames and Country.  [RC]
Wimarawoorroo  	[Wimara-woorroo] nominal. Murderer's Pool, on Fossil Downs Station. Category: Placenames and Country.  [SH]
Winthawoorroo2  	[wintha-woorroo] nominal. 1 • cadjeput, spring paperbark. Melaleuca leucodendron. Traditional uses of bark: to make waterproof wet season shelters, rafts, small coolamons tied at both ends; as plates, a wrapping for fish or meat before cooking in a ground oven, blankets; to wrap the bones of the dead  for storing in caves. Category: plants.  [Plants of the Kimberley 220]
2 • creek wich feeds into O'Donnel River on Fossil Downs Station. Category: Placenames and Country.  [JS, SH]
Wirarrngi  	[Wi-rarrngi] nominal. place  on  Mount Pierre Station. Category: Placenames and Country.  [MS]
Wirnajiwarn  	[Wirnaji-warn] nominal. water hole on the Garloo section of the Fitzroy River on  GoGo Station. Category: Placenames and Country.  [TC]
Wirriyalbarn  	[Wirriyal-barn] nominal. water hole on the Garloo section of the Fitzroy River on GoGo Station. Category: Placenames and Country.  [TC]
Wiyiga  	[Wi-yiga] nominal. Sing Out Spring  on Mount Pierre Station. Category: Placenames and Country.  [RC]
waaba-  	[waa-ba] monovalent verb. give off a strong smell. Ngawoornga booloomani thoowoorndoo waabayi The dead bullock was smelling stink. Category: describers.  [TC, DS]
waangga  	[waang-ga] nominal. unwanted. ngirndaji tharra waangga. nobody wants this dog. Category: describers.
waari  	[waa-ri] nominal. pandanus. Pandanus aquaticus. Category: plants.  [SL, RC, Broome and beyond 214]
waarri  	[waa-rri] nominal. blood. Warri loorryi boorloomani nhingi Blood was coming out of the bullock. Category: body parts and products.  [wk, mq]
wab-  	bivalent verb. smell (something). Goornbooyarndiga wabbidi  gawi  thoorndoo waabayi. The women smelt that the fish was smelling stinky. Category: describers.  [TC, DS]
waj-  	bivalent verb. throw. Ngoorndooga yoowooloongga wajbarri niyaji jinyba? Which man threw that boomerang? Category: actions.  [TC]
wajarranyi  	[wajarr-anyi] nominal. different. Niyaji booga wajarranyi nyali waranggiri. That child looks a bit different. Category: describers.  [TC, FGG 259]
wajarri  	[wa-jarri] nominal. boab tree. Adansonia gregorii. wajarri woobgoorra girnjirliya. They cook boab fruit in the hot sand. A good shade tree. Fruit ripens in the dry season; pulp and crushed seeds are edible. Green fruit is cooked in hot sand. Category: trees.
wajbali  	[waj-bali] nominal. white person,  non aboriginal person. Wajbali wardji yaanya nhingi riwi ngirndajiyirra. The white man came from another country to here. See: marlngarri. Category: people.
walaba  	nominal. small plant. walaba lambardi girili warari girloolooya. walaba is a smal plant that grows in limestone country ... Note: This plant grows on Fossil Downs country. Category: plants.  [MS, JD]
walaji-  	[wala-ji] bivalent verb. give cheek. Yoowooloongga walajinga goornboo ngarriyoo. The man was giving cheek to the woman about the money. Category: actions.  [TC]
walamba  	[walam-ba] nominal. plains kangaroo, antlopine wallaroo. Macropus antilopinu. Category: kangaroos.  [JS, SL  not in Glenn Wightman's  Mammals of Australia 322, 324]
walamboo  	[walam-boo] nominal. rib of humans and animals. Category: body parts and products.  [mq]
walanarri  	[wala-narri] nominal. a coolamon (narrow and deep), use for keeping water. Walanarri nyamani yamadi. This coolaman is a big one. People used to fill up the coolamon with water from a soak, using a smaller coolamon (warroo), then they stuffed the two ends with grass. Category: artifacts.  [RC]  [31/Mar/2010]
walbarr-  	[wal-barr] ambivalent verb. spread out. Walbarrwarni manyi warnbirrinyi. The bush cucumber plant spreads out. Category: describers.  [SL, RC]
walgarndi  	[wal-garndi] nominal. nuisance. Walgarndiga mawilyi gajbinmi ngarragi girili. Those nuisance kids cut my trees. See: jambirlinyi. Category: describers.  [TC, RC]
walmadi  	[wal-madi] nominal. Australian rainbow fish,  Mueller's glass fish  and Ambassis sp. Melanotaenia  australis,     Ambassis mulieri,  fish poster. Category: fish.  [RC, JD, TC  and KLC fish poster]
waloonganarra  	[waloo-ngarnarra] nominal. narrow headband. Category: artifacts.  [wb]
walwarrangga  	[wal-warrangga] nominal. big fresh water male crocodile. The eggs are dug out of nests in the sand, it is time to collect them when the western white wood{bambira} flowers The crocodile has the joowoorroo skin name. Category: water animals.
walyarra  	[wa-lya-rra] nominal. river sand. Usage: The meaning of this word has been extended to include sugar.. Category: Land.  [mq]
wamarna  	[wa-marna] nominal. type of spear. Used to administer punishments. It is thrust into a wrong-doer's thigh. Category: artifacts.  [wb]
wamba  	adverb. later, after. Category: describers.
wambawoo  	[wamba-woo] particle. almost, nearly. Category: describers.  [FGG 166]
wamoorla  	[wa-moorla] nominal. smoke from fire. Category: cooking and fire.
wan.binyi  	[wan-bi-nyi] nominal. eyebrow. Category: body parts and products.  [RC]
wan.ga  	[wan.ga] nominal. alive. Ginyandi yoowooloo wan.gami waranggiri That man is he  alive. Category: describers.  [LC, JS]
wan.gi  	[wan.gi] nominal. smoke. Category: cooking and fire.  [wb]
wandaj-  	bivalent verb. carry on shoulders. Wayandi wandajba ngarragi riwiyirra. Carry the wood  to the camp for me. Category: holding and transfer.  [TC]
wangany  	[wa-ngany] nominal. be ignorant, don't know. Jajinhingi wanganygigiri. Why are you being so ignorant. . Category: describers.  [TC]
wangarrag-  	[wanga-rrag] monovalent verb. get lost. Marlngarri wangarragbani gaali yaanyaya, Danggooyirra wardjirni. The tourist got lost on the other road, trying to get to Geikie Gorge. Category: describers.  [TC, DS]
wangga  	[wang-ga] nominal. dance. Joonba wangga jarrwirri maningga Last night they dance the wangga dance. Category: culture.
wanggarl-  	[wang-garl] ambivalent verb. attempt, try. Wanggarl liminhi yirrali roorroobgoo. I tried hard to pull the roots out.. Category: actions.  [TC< DS]
wanggiri2  	[wang-giri] nominal. 1 • Torresian crow. Corvus orru. garndoowa wanggiri waranggoorroo ngirndajiya riwi. There are lots of crows living in this place. Category: birds.
2 • coolibah tree gall. wirrgali wanggiri bagiri girili goorlalalya  niyaji  biyirndi ngabirri The green gall  is found on the coolibah tree and the larvae is edible. Green galls containing edible larvae found on the branches of coolibah trees. Category: insects and spiders.  [SL,RC,TC,ET]
wanggoo  	[wang-goo] nominal. kapok tree/cotton tree with yellow flowers. Cochlospermum fraseri ; family COCHLOSPERMACEAE/. The tap-root of young plants is dug up and lightly roasted. Wanggoo girili warari girloorlooya, manyi joornanygarra ngabgoo. The kapok tree grows in the limestone country and  is a good tucker to eat. Category: bush food.  [wb, SL,TC, Mimbi species list, Plants of the Kimberley 129, Glenn Whiteman]
wangi  	nominal. image, shadow. Yoowooloongga wangi milawilagani jarrwaya joonba. The man sees an image of himself dancing a corroboree.. Category: describers.
wangmara-  	[wang-mara] monovalent verb. mad, become silly. Yoowooloo yoowarni wangmarawindi gardbiwina yoowoolooyarndi girilingarringga. One man got mad, he was hitting people with a stick. Category: describers.
wanyarn-  	[wa-nyarn] ambivalent verb. knock out. Yoowooloongga garingoowa wanyarnbini girili ngarringga. The man knocked his wife out with a stick. Category: impact and violence.  [TC]
wanyirli  	[wany-irli] nominal. persistant. Nganyi wardngi wanyirli miga bijlarni warlibirriya. I walked persistantly on till I arrived at the  river. Category: describers.
wanyja  	[wany-ja] nominal. skinny, thin. Goornboo niyaji wanyja yanga. That woman is so skinny. Category: describers.  [TC]
wanyjidi  	[wany-jidi] nominal. small bush from which a spear is made. Gossypium australe. Category: plants.
wanyjirri  	[wany-jirri] nominal. Agile wallaby -  river kangaroo. Macropus agilis. Wanyjirri garndiwayanga waranggoorroo babirri warlibirriya. There are lots of kangaroos living down at the river. Category: kangaroos.  [wk, JS  TC, Mammals of Australia 348, GW]
wara-  	monovalent verb. stand. Lama warawiri gambayi Stand still boy. Category: actions.
warang-  	monovalent verb. sit, stay. warangbirri balngarna niyajiya Let's sit outside over there. Category: motion.  [FGG 585]
warany  	[wa-rany] verb. to stop someone from going. Waranyba niyaji yoowooloo, thithi wardgirawoo Boorroorlayirra. Stop that man before he might go to Derby. Category: actions.  [TC]
warawoodoo  	[wara-woo-doo] nominal. kangaroo or bullock pad (path). See: gaali. Category: Land.  [MS, TC, DS]
